source_scrape,search_lang,raw_name,station_en,station_ar,lat,lon,translated_en,line,opening_year,is_operational
google_maps,brt_en,BRT Bahtim,BRT Bahtim,BRT Bahtim,30.1566206,31.2792741,BRT Bahtim,BRT,2025,True
google_maps,brt_en,محطة عدلي منصور BRT,mhta 'dly mnswr BRT,محطة عدلي منصور BRT,30.1480949,31.42001,mhta 'dly mnswr BRT,BRT,2025,True
google_maps,brt_en,BRT Moasast El zakah,BRT Moasast El zakah,BRT Moasast El zakah,30.165928,31.382698,BRT Moasast El zakah,BRT,2025,True
google_maps,brt_en,محطة شبرا الخيمة BRT,mhta shbra alkhyma BRT,محطة شبرا الخيمة BRT,30.1491128,31.2290491,mhta shbra alkhyma BRT,BRT,2025,True
google_maps,trd_ar,محطة الاتوبيس الترددي مسطرد,mhta alatwbys altrddy mstrd,محطة الاتوبيس الترددي مسطرد,30.1640382,31.3018885,mhta alatwbys altrddy mstrd,BRT,2025,True
google_maps,trd_ar,محطة الأتوبيس الترددي السلام,mhta alatwbys altrddy alslam,محطة الأتوبيس الترددي السلام,30.1488806,31.4187215,mhta alatwbys altrddy alslam,BRT,2025,True
google_maps,trd_ar,محطة الاتوبيس الترددي الخصوص,mhta alatwbys altrddy alkhsws,محطة الاتوبيس الترددي الخصوص,30.1633045,31.3234642,mhta alatwbys altrddy alkhsws,BRT,2025,True
google_maps,trd_ar,محطة الاتوبيس الترددي الشرقاوية,mhta alatwbys altrddy alshrqawya,محطة الاتوبيس الترددي الشرقاوية,30.1497387,31.2403214,mhta alatwbys altrddy alshrqawya,BRT,2025,True
google_maps,trd_ar,محطة الاتوبيس الترددي طريق السويس,mhta alatwbys altrddy tryq alswys,محطة الاتوبيس الترددي طريق السويس,30.0796365,31.4354729,mhta alatwbys altrddy tryq alswys,BRT,2025,True
google_maps,trd_ar,الاتوبيس الترددي السريع - محطة المرج,alatwbys altrddy alsry' - mhta almrj,الاتوبيس الترددي السريع - محطة المرج,30.1634822,31.3414098,alatwbys altrddy alsry' - mhta almrj,BRT,2025,True
google_maps,brt_en,محطة القلج - الاتوبيس الترددي السريع,mhta alqlj - alatwbys altrddy alsry',محطة القلج - الاتوبيس الترددي السريع,30.1656173,31.3581387,mhta alqlj - alatwbys altrddy alsry',BRT,2025,True
google_maps,trd_ar,محطة جاردينيا الاتوبيس الترددي جادرينيا,mhta jardynya alatwbys altrddy jadrynya,محطة جاردينيا الاتوبيس الترددي جادرينيا,30.0555091,31.4124423,mhta jardynya alatwbys altrddy jadrynya,BRT,2025,True
google_maps,trd_ar,محطة الاتوبيس الترددي طريق شبرا بنها الحر,mhta alatwbys altrddy tryq shbra bnha alhr,محطة الاتوبيس الترددي طريق شبرا بنها الحر,30.1496744,31.2528329,mhta alatwbys altrddy tryq shbra bnha alhr,BRT,2025,True
google_maps,trd_ar,محطة الاتوبيس الترددي الفريق ابراهيم عرابي,mhta alatwbys altrddy alfryq abrahym 'raby,محطة الاتوبيس الترددي الفريق ابراهيم عرابي,30.1583165,31.405057,mhta alatwbys altrddy alfryq abrahym 'raby,BRT,2025,True
