Stop_Name,Total_Daily_Alighting,geometry,Near_Route,Label
Port Said St. Pedestrian Al Mosky,3394.0471127684273,POINT (331841.1160384228 3325597.0718617043),True,Near Route (≤120m)
Porto Cairo Mall,68.0,POINT (347907.7711329366 3327087.6286698403),True,Near Route (≤120m)
Postal Office (1st Settlement),362.0,POINT (351735.8004151586 3327206.7300496334),True,Near Route (≤120m)
Public Taxes Mission (Nasr City),4101.0,POINT (340502.2427304381 3326524.1280492414),True,Near Route (≤120m)
Qadry Basha (Al Sayeda Zeinab),4176.0,POINT (330835.85018406017 3323773.9211208513),True,Near Route (≤120m)
Qalaa,622.1034876578493,POINT (331997.9641413292 3323362.9494607146),True,Near Route (≤120m)
Qalyoub Al Balad Bus Station,4036.0,POINT (327430.2789631153 3340229.350979455),True,Near Route (≤120m)
Qalyoub District Court,4207.0,POINT (328332.06430790975 3340174.9768766696),True,Near Route (≤120m)
Qalyoub Exit to Ring Rd.,158.0,POINT (329423.00510973856 3336637.5340405656),True,Near Route (≤120m)
Qalyub Exit (Cairo Alexandria Agriculture Rd.),3294.0,POINT (329548.4609356418 3336374.6775624906),True,Near Route (≤120m)
Qalyub Specialized Hospital,382.0,POINT (328787.1478582999 3340157.620453255),True,Near Route (≤120m)
Qalyub Steps (Ring Rd.),1076.0,POINT (329565.5061674843 3336651.348309522),True,Near Route (≤120m)
Qasr Oraby Furniture (Gamal Abdel Nasser),1355.0,POINT (345681.7532267927 3335538.607601691),True,Near Route (≤120m)
Qatar Ahly Bank (Al Tayaran St.),3033.0,POINT (338593.600642315 3326879.873444978),True,Near Route (≤120m)
Qattameya,465.0,,False,Far from Route (>120m)
Qawmeya Arabeya,1595.0,POINT (326990.4577043464 3330620.5162146385),True,Near Route (≤120m)
Qawmeya Steps (Ring Rd.),220.0,POINT (326511.45907596604 3330827.0684534735),True,Near Route (≤120m)
Qism El Marg,1486.0,POINT (340234.79432395415 3336522.6141391196),True,Near Route (≤120m)
Rabaah Al Adaweya Mosque,2189.870892438247,POINT (338596.00307550456 3327450.9387927274),True,Near Route (≤120m)
Rabaah Al Adaweya Mosque (Nasr City),1744.0,,False,Far from Route (>120m)
Radisson Hotel (Sheraton),1227.0,POINT (343450.96330602374 3331755.4066453786),True,Near Route (≤120m)
Radobis Cinema (Haram St.),59.0,POINT (325869.3762175835 3320905.3619319964),True,Near Route (≤120m)
Ragab Sons (Al Gazaer St.),1120.0,POINT (333658.46096267924 3317324.1419861065),True,Near Route (≤120m)
Ragab Sons (Al Magzar Mariouteya),5730.0,POINT (322750.45401264494 3317717.6125668692),True,Near Route (≤120m)
Ragab Sons (Al Shabab St. Obour),86.0,POINT (353512.04866218206 3349167.7870989745),True,Near Route (≤120m)
Ragab Sons (Mahdy Arafa),3104.0,,False,Far from Route (>120m)
Ragab Sons 7th District (6th of October),84.0,POINT (300851.4657916351 3318171.4511829196),True,Near Route (≤120m)
Ragab Sons Al Mehwar Al Markazi (6th of October),100.0,POINT (300861.12420167105 3316916.9523144923),True,Near Route (≤120m)
Ramses,24243.0,POINT (330882.25942977454 3326885.0727484585),True,Near Route (≤120m)
Ramses Extension - Southside,587.0,,False,Far from Route (>120m)
Ramses Extension (North of Nasr Rd.),453.0,POINT (335977.0337313586 3327061.9961205046),True,Near Route (≤120m)
Ramses Extension (South of Nasr Rd.),225.0,POINT (336876.0371465677 3325579.1286764187),True,Near Route (≤120m)
Ramses Extension Northside,448.0,,False,Far from Route (>120m)
Ramses Language Schools (Khaloussi),2271.0,POINT (331339.4113445989 3328751.2825249922),True,Near Route (≤120m)
Ramses Railway Station,33677.0,POINT (331128.8458357315 3326934.733770479),True,Near Route (≤120m)
Raslan (6th of October),153.0,POINT (298730.79277718166 3315389.4060839876),True,Near Route (≤120m)
Real Estate Registration Mission (Shobra),1285.0,POINT (331131.15052061644 3328300.3252273123),True,Near Route (≤120m)
Real Estate Registration Office (Shobra),461.0,POINT (331139.9695157978 3328298.5847748183),True,Near Route (≤120m)
Realestate Regulation Authoity (6th of October),68.0,POINT (298471.0907732953 3313717.872988071),True,Near Route (≤120m)
Red Crescent ( Masaken Zainhom),526.0,POINT (330815.23723980447 3322480.703004528),True,Near Route (≤120m)
Red Kiosk (6th of October),84.0,POINT (299094.28634721186 3316842.506530203),True,Near Route (≤120m)
Rehab Gate 13,551.0,POINT (352973.2743268157 3326847.3593128463),True,Near Route (≤120m)
Rehab Gate 6,1095.0,POINT (354493.0157404145 3325663.696052182),True,Near Route (≤120m)
Rehab Square,184.0,POINT (352928.0782510569 3325862.8290690123),True,Near Route (≤120m)
Remaya 28,2056.61688977039,POINT (319955.8121482752 3319147.0434408747),True,Near Route (≤120m)
Research Institute of Ophthalmology - Giza,3559.0,POINT (328005.99061130907 3321880.098444599),True,Near Route (≤120m)
Research Institute of Ophthalmology (Al Giza),427.0,POINT (328016.9328718529 3321866.815226039),True,Near Route (≤120m)
Rihana Plaza (Sheikh Zayed),10.0,POINT (307549.6217996483 3326218.328617234),True,Near Route (≤120m)
Rimo Car (Ahmed Helmy St.),1921.0,POINT (331891.1642415208 3328797.889133874),True,Near Route (≤120m)
Ring Rd Exit to Mansoureyya Rd,227.0,,False,Far from Route (>120m)
Ring Rd. Entrance from Moneeb,1578.0,POINT (327210.7827752729 3318605.210335521),True,Near Route (≤120m)
Ring Rd. Exit to Al Warraq,16.0,POINT (326766.4148083739 3334058.2283881446),True,Near Route (≤120m)
Ring Rd. Exit to Bashtil,200.0,POINT (325493.2926601112 3329356.6016807165),True,Near Route (≤120m)
Ring Rd. Exit to Cairo Alexandria Agriculture Road,114.0,POINT (329863.0193794868 3336679.7097841445),True,Near Route (≤120m)
Ring Rd. Exit to Khosous,3055.0,POINT (336472.6983157735 3337556.113563625),True,Near Route (≤120m)
Ring Rd. Exit to Moneeb,3038.0,POINT (327197.92565950635 3318579.13693759),True,Near Route (≤120m)
Ring Rd. Exit to Remaya,299.0,,False,Far from Route (>120m)
Ring Rd. Exit to Safe Al Laban,69.0,,False,Far from Route (>120m)
Ring Rd. Exit to Saft Al Laban,98.0,POINT (323095.25899585185 3323932.7475435254),True,Near Route (≤120m)
Ring Rd. Exit to Zahraa Masr Al Qadeema,1345.0,,False,Far from Route (>120m)
Ring Rd. Pedestrian Al Abeet,42.0,,False,Far from Route (>120m)
Ring Rd. Pedestrian Ezbet Anwar,13.0,POINT (332903.5939578919 3336716.5057722544),True,Near Route (≤120m)
Ring Rd. Steps 1 (26th of July Corridor),669.0,POINT (323856.2317911128 3327116.12161599),True,Near Route (≤120m)
Ring Rd. Steps 2 (26th of July Corridor),528.0,POINT (324125.9406484453 3327047.016878541),True,Near Route (≤120m)
Ring Rd. Steps to Ezbet Kayrallah,164.0,,False,Far from Route (>120m)
Ring Rd. Steps to Nahya,458.0,,False,Far from Route (>120m)
Ring Rd. Steps to New Marg,576.0,POINT (340315.89206208184 3338075.7644351157),True,Near Route (≤120m)
Ring Rd. Steps to Nour City,154.0,,False,Far from Route (>120m)
Ring Road Entrance from Cairo Alexandria Agriculture Rd.,535.0,POINT (329079.00885022676 3336633.2111946405),True,Near Route (≤120m)
Ring Road Exit to Qalyub,268.0,POINT (329068.0489186143 3336607.69345901),True,Near Route (≤120m)
Ring Road Steps to 26th of July Mehwar,431.0,POINT (323857.98652420775 3327127.500548831),True,Near Route (≤120m)
River Transport Authority ( Zahraa ),1774.0,,False,Far from Route (>120m)
Rod Al Farag Metro Station,6865.0,POINT (330881.57867359906 3329013.224371718),True,Near Route (≤120m)
Rod Al Farag Youth Center,399.0,POINT (329235.91468213254 3328457.0893486114),True,Near Route (≤120m)
Rotana Motors (Maadi),94.0,POINT (333959.58649830805 3318524.224591223),True,Near Route (≤120m)
Roushdy Pharmacy (Al Remaya Square),258.0,POINT (319666.38301114447 3319265.40040692),True,Near Route (≤120m)
Roxy,12390.0,POINT (337643.7907430186 3330288.1471264036),True,Near Route (≤120m)
Royal City Gate (Sheikh Zayed),268.0,POINT (309946.04944562295 3324059.6147608045),True,Near Route (≤120m)
Saad Zaghloul Metro,680.0,POINT (330336.45066176396 3324134.524840514),True,Near Route (≤120m)
Sadat Academy (Maadi),168.0,POINT (330991.02742670896 3315619.0554149915),True,Near Route (≤120m)
Safeer Square (Heliopolis),1714.0,POINT (339834.89522950456 3330748.7962159775),True,Near Route (≤120m)
Saft Al Laban,1040.0,POINT (323337.50868343154 3323659.483078943),True,Near Route (≤120m)
Saft Al Laban Axis,3514.0,POINT (322749.16231336695 3323568.445266775),True,Near Route (≤120m)
Saft Al Laban Entrance from Ring Rd.,348.0,POINT (323087.3044413654 3323950.6124833375),True,Near Route (≤120m)
Safwa Clinics (Obour),144.0,POINT (352600.9691190898 3348169.957353691),True,Near Route (≤120m)
Saint Fatima Square,446.0,POINT (340449.4257668836 3331667.627038012),True,Near Route (≤120m)
Saint George Church (Kotseika),264.0,POINT (333837.14348458266 3312837.2075539264),True,Near Route (≤120m)
Saint Teresa Metro,4040.0,POINT (330897.25296299066 3329976.3010353507),True,Near Route (≤120m)
Sakiat Mekki Metro,3503.0,POINT (327241.71911371266 3319533.6076825466),True,Near Route (≤120m)
Sakkara Steps (Ring Rd.),356.0,POINT (323660.20852442767 3317307.4974482763),True,Near Route (≤120m)
Salah Al Din Citadel (Salah Salem),6601.0,POINT (332369.831726925 3322871.765632705),True,Near Route (≤120m)
Salah Al Din Square (Heliopolis),8154.0,POINT (339101.61409459426 3330507.680741043),True,Near Route (≤120m)
Salam Alexandria Station,736.0,POINT (347962.04313391214 3339613.3736755624),True,Near Route (≤120m)
Salam Station (10th of Ramadan Station),3905.5945419334344,POINT (346833.22372200503 3336752.5905179917),True,Near Route (≤120m)
Salamtak Labs (Dolce),72.0,POINT (299450.210609708 3313315.6031472883),True,Near Route (≤120m)
Samir & Ali Al Thawra St (Heliopolis),309.0,POINT (340296.3146020683 3329097.4005219806),True,Near Route (≤120m)
Saqqara (Moroor),1872.0,POINT (330147.1242656335 3303569.229134756),True,Near Route (≤120m)
Saqqara Rd. & Al Mansoureya Rd.,4103.0,POINT (325223.0543253247 3314124.104543554),True,Near Route (≤120m)
Saqr Quraish,334.0,POINT (334902.6080130994 3318484.12246894),True,Near Route (≤120m)
Saqr Quraish Station,5597.0,,False,Far from Route (>120m)
Saray Al Qobba,3455.0,POINT (336914.6262464328 3330853.3384903753),True,Near Route (≤120m)
Sawaris Square (Maadi),471.4652212535473,POINT (332175.4111944544 3315981.692233861),True,Near Route (≤120m)
Sayyed Al Abedeen Pharmacy (Cablat St.),338.0,POINT (335489.59703493793 3332625.7683860846),True,Near Route (≤120m)
Science House Garden (Al Mounira),249.0,POINT (329872.13046051946 3323995.682343096),True,Near Route (≤120m)
Scoial Services School (Roxy),574.0,POINT (337135.6603608505 3330109.976787752),True,Near Route (≤120m)
Sednawy (Sudan St.),2808.0,POINT (326103.8851796447 3324370.353284199),True,Near Route (≤120m)
Sekat Hadid Al Mahager (Basateen),1100.0,POINT (333286.2823719232 3318301.2462463384),True,Near Route (≤120m)
Sekka Hadid St. Pedesterian Bridge,454.0,POINT (328686.55549109157 3316554.355945375),True,Near Route (≤120m)
Sekket Al Waili,2608.0,POINT (334217.12703504827 3330189.088721515),True,Near Route (≤120m)
Sekket Al Waili St. (Kobry Al Qobba),248.0,POINT (335187.177333747 3329730.879478025),True,Near Route (≤120m)
Shabab (Obour),1472.0,POINT (354215.51868190255 3349982.1687432732),True,Near Route (≤120m)
Shabramant,1998.0,POINT (325886.56355945306 3313567.6918527144),True,Near Route (≤120m)
Shabramant Bus Station,148.0,,False,Far from Route (>120m)
Shahrazad Hall ( Sawah),547.0,POINT (334678.3462376725 3332425.3580389814),True,Near Route (≤120m)
Shalqan Rd.,1398.0,POINT (321031.61465230066 3340848.045723077),True,Near Route (≤120m)
Shams Club (Alf Maskan),5310.0,POINT (340335.85614436463 3333408.0263928147),True,Near Route (≤120m)
Shams Club Squash Courts,537.0,POINT (342079.7094104937 3332938.036182656),True,Near Route (≤120m)
Sharea Jadid (Marg Axis),2014.0,POINT (341332.2854350566 3335625.5062371935),True,Near Route (≤120m)
Shawerma Abu Mazen (Maadi),82.0,POINT (331168.55322213925 3315697.521484046),True,Near Route (≤120m)
Sheikh Al Balad (Ain Shams St.),429.0,POINT (338032.84938184323 3333706.1157107395),True,Near Route (≤120m)
Sheikh Ali Youssef School ( Downtown),414.0,,False,Far from Route (>120m)
Sheikh Selim Institute (Arbean St.),176.0,POINT (337670.31366671645 3334880.591682623),True,Near Route (≤120m)
Sheikh Zayed General Hospital,1696.0,POINT (307831.67478186416 3324636.4324877867),True,Near Route (≤120m)
Sheikh Zayed General Hospital Northside,58.0,POINT (308026.5733906803 3324954.3909956035),True,Near Route (≤120m)
Shepheard Hotel (Qasr Al Nile),2652.0,POINT (329491.4685175114 3324786.2045089137),True,Near Route (≤120m)
Shobra  Banha St. & Ring Rd.,1323.0,POINT (331867.66067045886 3336661.456784343),True,Near Route (≤120m)
Shubra Al Khaima City Authority,2113.0,POINT (330699.69583597715 3333375.4672171124),True,Near Route (≤120m)
Shubra Al Kheima City Authority,1347.0,POINT (330767.93632379966 3333395.6181208896),True,Near Route (≤120m)
Shubra Al Kheima City Council,13.0,POINT (330751.2983716583 3333396.216756713),True,Near Route (≤120m)
Shubra Al Kheima East District Authority,2639.0,POINT (333730.78164623166 3334979.9568156367),True,Near Route (≤120m)
Shubra Al Kheima Metro Station,1411.0,POINT (330881.3892151232 3333569.9509292976),True,Near Route (≤120m)
Shubra Al Kheima Power Plant,1348.0,POINT (330620.6913317761 3332772.568806202),True,Near Route (≤120m)
Silver Nile Social Club (Nile Corniche),2038.0,POINT (329524.9623685722 3317716.3934061173),True,Near Route (≤120m)
Simsima (Dokki),337.0,POINT (327588.7288426552 3323878.9079760867),True,Near Route (≤120m)
Sky Mart Mall (1st Settlement),18.0,POINT (350711.07237721595 3327316.668732117),True,Near Route (≤120m)
Soap Factory (Marg),744.0,POINT (340664.5037487075 3338982.273127834),True,Near Route (≤120m)
Sobhy Hussein St. (Al  Moqattam),22.0,POINT (338607.1584463075 3319797.899557585),True,Near Route (≤120m)
Sobhy Hussein St. (Al Moqattam),206.0,POINT (338642.7824526485 3319774.753711811),True,Near Route (≤120m)
Social Insurance Bureau (Shubra Al Kheima),504.0,POINT (333422.67849868035 3335132.3238577326),True,Near Route (≤120m)
Sonesta Hotel (Al Tayaran St.),628.0,POINT (337962.350898567 3328719.458690814),True,Near Route (≤120m)
Sonesta Hotel (Tayaran St.),121.0,,False,Far from Route (>120m)
Souq Al Asr (Khalifa Al Mamoun St.),1921.0,POINT (337126.5930728461 3329747.6029739818),True,Near Route (≤120m)
Souq Al Gomla,699.0,POINT (309800.72817948903 3316678.6146816984),True,Near Route (≤120m)
Souq Bab Al Louq,1952.0,POINT (330288.57846939715 3325100.4672429906),True,Near Route (≤120m)
Southern Gate Obour Market,77.0,POINT (353073.6780021575 3337860.1460518804),True,Near Route (≤120m)
Sphinx Square,3905.0,POINT (327202.4720174074 3326974.270343032),True,Near Route (≤120m)
State Council ( Dokki),977.0,,False,Far from Route (>120m)
Sudan St (Ard El Lewa),4360.0,,False,Far from Route (>120m)
Suez Bridge,0.0,,False,Far from Route (>120m)
Suez Bridge Entrance to Ring Road,307.0,POINT (349245.1644266322 3328699.49045415),True,Near Route (≤120m)
Sultan Abou Al Ela Mosque (Maspero),356.0,POINT (329447.9095237854 3326334.7383065247),True,Near Route (≤120m)
Sultana Weddings Centre (Saqqara),321.0,POINT (324265.64473631233 3314934.2831166615),True,Near Route (≤120m)
Sun City Mall,1173.0,POINT (344320.4061627105 3331397.4767631013),True,Near Route (≤120m)
Sun Mall,4412.0,POINT (345053.9022395435 3325461.074605784),True,Near Route (≤120m)
Swan Lake Compound (5th Settlement),160.0,,False,Far from Route (>120m)
Syndicate Of Commercial Professions (Abbasseya),436.0,,False,Far from Route (>120m)
Taawon (Al Matareyya),5188.0,POINT (336344.1067167654 3333649.2201113557),True,Near Route (≤120m)
Taba St. & 6 October St. (Salam),629.0,POINT (347701.7171825678 3339238.9740206692),True,Near Route (≤120m)
Tabarak (Omar Al Mokhtar St.),8860.0,POINT (335967.2218718466 3333476.0313554145),True,Near Route (≤120m)
Tagneed,784.0,POINT (317934.1112658818 3318161.1687518223),True,Near Route (≤120m)
Tahrir Square,1222.0,POINT (329898.4483307198 3324976.292382888),True,Near Route (≤120m)
Taki (Al Waili),3063.0,POINT (333843.19669175055 3326626.7229962116),True,Near Route (≤120m)
Talaat Harb Cultural Center,274.0,POINT (331379.81301040447 3322588.18486911),True,Near Route (≤120m)
Talaat Harb Mall (Downtown),16.0,POINT (330371.05436182243 3325685.1108136266),True,Near Route (≤120m)
Talaat Harb Square (Downtown),141.0,POINT (330192.81514558534 3325387.0303044794),True,Near Route (≤120m)
Taqa Gas Station (Badrasheen),62.0,POINT (333774.4685142761 3304488.5657740766),True,Near Route (≤120m)
Tara Compound Entrance (Sheikh Zayed),60.0,POINT (308484.31033777696 3324885.9715159843),True,Near Route (≤120m)
Telecom Egypt Central ( Almaza ),256.0,,False,Far from Route (>120m)
Telecom Egypt Central (6th Of October),365.0,POINT (302733.4560326405 3317623.8482184885),True,Near Route (≤120m)
Telecom Egypt Central (Almaza),308.0,POINT (339556.0834652069 3329538.311730671),True,Near Route (≤120m)
Teraat Al Gabal St.,767.0,POINT (336736.61049846536 3331267.040786528),True,Near Route (≤120m)
Teraat Al Khashab (Nile Corniche),350.0,POINT (334571.2649067698 3310916.0103451363),True,Near Route (≤120m)
Teraat Al Marioteyya St.,540.0,POINT (318920.31769173546 3323877.237040051),True,Near Route (≤120m)
Teraat Al Zomor & Abu Bakr Al Siddiq St.,434.0,POINT (324989.6915919209 3328421.384580584),True,Near Route (≤120m)
Teraat Taware' Axis,342.0,POINT (343875.97358616284 3335397.3871212685),True,Near Route (≤120m)
Tereat Al Gabal St. (Al Horeyya St.),446.0,POINT (337387.1943436084 3332578.4828341636),True,Near Route (≤120m)
Tharwat Bridge (Saft El Laban),2733.0,POINT (326573.90532351495 3323200.1919337404),True,Near Route (≤120m)
The Continental School of Cairo (Obour),204.0,POINT (351850.5015635744 3341415.7019373435),True,Near Route (≤120m)
The Egyptian Lawyers Association,8616.0,POINT (330096.8773023248 3325897.6940704538),True,Near Route (≤120m)
The National Museum of Egyptian Civilization,289.0,POINT (330997.92633537616 3320696.600334522),True,Near Route (≤120m)
The Platform (Maadi),1960.0,POINT (329688.7812371487 3317254.5875237994),True,Near Route (≤120m)
The Unknown Soldier Memorial,179.0,POINT (337530.41917097406 3327152.457932674),True,Near Route (≤120m)
Three Brothers Supermarket (Al Manial),3510.0,POINT (328555.24528688483 3321869.2366501805),True,Near Route (≤120m)
Three Pyramids Hotel,1186.0,POINT (324265.9135874403 3320260.834392624),True,Near Route (≤120m)
Tiba Grand Mall (6th of October),0.0,POINT (298211.7315211533 3314995.1236661146),True,Near Route (≤120m)
Tolip (Zahraa Nasr City),3329.0,POINT (346159.48465122725 3325599.6024761344),True,Near Route (≤120m)
Tolip Plaza (5th Settlement),684.0,POINT (352040.35456810385 3322614.3402888705),True,Near Route (≤120m)
Toman Bay St. (Heliopolis),893.0,POINT (337616.76660773833 3331437.0943750856),True,Near Route (≤120m)
Tomwa (Abu Al Nomros),497.0,POINT (331675.3249985735 3312643.6638602526),True,Near Route (≤120m)
Tora Prison (Autostrad),204.0,POINT (334686.9671610332 3314158.352165686),True,Near Route (≤120m)
Tora Steps (Autostrad),276.0,POINT (334704.54250716383 3314653.492959813),True,Near Route (≤120m)
